movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm
20247551,가짜왕,The Fake King,2023.0,,단편,기타,한국,드라마,한국,드라마
20129035,정염의 검사,Prince Valiant,1954.0,,장편,기타,미국,"액션,드라마,어드벤처",미국,액션
20247522,선셋모녀,The Encounter of Loneliness,2020.0,,단편,기타,한국,드라마,한국,드라마
20247500,남매의 휴일,"Midnight, Seoul, Cafe Holiday",2023.0,,단편,기타,한국,"드라마,가족",한국,드라마
20216726,스트리밍,Streaming,2021.0,,장편,개봉준비,한국,"미스터리,스릴러",한국,미스터리
19830060,사랑할 때와 헤어질 때,"A Time To Love, A Time To Part",1983.0,19830609.0,장편,개봉,한국,"드라마,멜로/로맨스",한국,드라마
19740082,대비상망,The Great Urgency Network,1974.0,19750606.0,장편,개봉,한국,액션,한국,액션
19870023,산딸기 3,,1987.0,19870418.0,장편,개봉,한국,"드라마,사극",한국,드라마
19850005,산딸기 2,Wild Strawberries 2,1984.0,19850202.0,장편,개봉,한국,"드라마,멜로/로맨스",한국,드라마
19820063,산딸기,Mountain Strawberries,1982.0,19820904.0,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스
20247549,극장판 칼라x말리스 -딥 커버- 후편,,2023.0,,장편,기타,일본,애니메이션,일본,애니메이션
20247548,극장판 칼라x말리스 -딥 커버- 전편,,2023.0,,장편,기타,일본,애니메이션,일본,애니메이션
20236557,스즈메의 문단속: 다녀왔어,Suzume,2022.0,20240110.0,장편,개봉,일본,애니메이션,일본,애니메이션
20236533,립세의 사계,The Peasants,2023.0,20240110.0,장편,개봉,폴란드,애니메이션,폴란드,애니메이션
20236890,클럽 제로,Club Zero,2023.0,20240124.0,장편,개봉,"오스트리아 ,영국","미스터리,스릴러",오스트리아 ,미스터리
20247563,한판,,2020.0,,단편,기타,한국,드라마,한국,드라마
20247562,별똥별,,2020.0,,단편,기타,한국,드라마,한국,드라마
20247546,파리에서 점심을,,2020.0,,단편,기타,한국,드라마,한국,드라마
20223754,피크닉,Picnic19,2021.0,,단편,기타,한국,드라마,한국,드라마
20247561,모닝콜,,2021.0,,단편,기타,한국,드라마,한국,드라마
20247560,매치,,2021.0,,단편,기타,한국,드라마,한국,드라마
20223150,첫 출근,First Day,2021.0,,단편,기타,한국,"드라마,스릴러,공포(호러)",한국,드라마
20223644,잡담,The Chat,2020.0,,단편,기타,한국,기타,한국,기타
20247559,어서와 장모는 처음이지,YOMENOHAHAOYA-01,2022.0,,장편,기타,일본,"멜로/로맨스,드라마",일본,멜로/로맨스
20247543,백일몽,,2021.0,,단편,기타,한국,드라마,한국,드라마
20247542,이면,,,,기타,기타,한국,기타,한국,기타
20247541,도둑촬영,,2020.0,,단편,기타,한국,드라마,한국,드라마
20247539,사람이 보이는 것보다 가까이 있음,,2020.0,,단편,기타,한국,드라마,한국,드라마
20247538,유남생,,,,기타,기타,한국,기타,한국,기타
20228747,마지막 점심,The Last Lunch,2022.0,,단편,기타,한국,스릴러,한국,스릴러
20225853,가면들,Masks,2021.0,,단편,기타,한국,공포(호러),한국,공포(호러)
20247537,100% 여자를 만나는 일에 관하여,,2017.0,,단편,기타,한국,드라마,한국,드라마
20223753,보통사람,Ordinary Person,2021.0,,단편,기타,한국,기타,한국,기타
20230122,요상한 나라의 앨리스,,2020.0,,단편,기타,한국,드라마,한국,드라마
20247557,필름 상영기 찾아서,,2020.0,,단편,기타,한국,드라마,한국,드라마
